t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,1.0,1.0,1.0,1.0,0.0,-0.5,-0.5
2,1.0,1.0,1.0,1.0,0.0,-0.8333333333333334,-0.8333333333333334
3,1.0,1.0,1.0,1.0,0.0,-1.0833333333333335,-1.0833333333333335
4,1.0,1.0,1.0,1.0,0.0,-1.2833333333333334,-1.2833333333333334
5,1.0,1.0,1.0,1.0,0.0,-1.4500000000000002,-1.4500000000000002
6,1.0,1.0,1.0,1.0,0.0,-1.592857142857143,-1.592857142857143
7,1.0,1.0,1.0,1.0,0.0,-1.717857142857143,-1.717857142857143
8,1.0,1.0,1.0,1.0,0.0,-1.8289682539682541,-1.8289682539682541
9,1.0,1.0,1.0,1.0,0.0,-1.9289682539682542,-1.9289682539682542
10,1.0,1.0,1.0,1.0,0.0,-2.019877344877345,-2.019877344877345
11,1.0,1.0,1.0,1.0,0.0,-2.1032106782106785,-2.1032106782106785
12,1.0,1.0,1.0,1.0,0.0,-2.180133755133755,-2.180133755133755
13,1.0,1.0,1.0,1.0,0.0,-2.2515623265623264,-2.2515623265623264
14,1.0,1.0,1.0,1.0,0.0,-2.318228993228993,-2.318228993228993
15,1.0,1.0,1.0,1.0,0.0,-2.380728993228993,-2.380728993228993
16,1.0,1.0,1.0,1.0,0.0,-2.4395525226407573,-2.4395525226407573
17,1.0,1.0,1.0,1.0,0.0,-2.4951080781963126,-2.4951080781963126
18,1.0,1.0,1.0,1.0,0.0,-2.5477396571436812,-2.5477396571436812
19,1.0,1.0,1.0,1.0,0.0,-2.5977396571436815,-2.5977396571436815
20,1.0,1.0,1.0,1.0,0.0,-2.645358704762729,-2.645358704762729
21,1.0,1.0,1.0,1.0,0.0,-2.6908132502172744,-2.6908132502172744
22,1.0,1.0,1.0,1.0,0.0,-2.7342915110868393,-2.7342915110868393
23,1.0,1.0,1.0,1.0,0.0,-2.775958177753506,-2.775958177753506
24,1.0,1.0,1.0,1.0,0.0,-2.815958177753506,-2.815958177753506
25,1.0,1.0,1.0,1.0,0.0,-2.854419716215044,-2.854419716215044
26,1.0,1.0,1.0,1.0,0.0,-2.8914567532520814,-2.8914567532520814
27,1.0,1.0,1.0,1.0,0.0,-2.927171038966367,-2.927171038966367
28,1.0,1.0,1.0,1.0,0.0,-2.9616537975870565,-2.9616537975870565
29,1.0,1.0,1.0,1.0,0.0,-2.9949871309203897,-2.9949871309203897
30,1.0,1.0,1.0,1.0,0.0,-3.0272451954365187,-3.0272451954365187
31,1.0,1.0,1.0,1.0,0.0,-3.0584951954365187,-3.0584951954365187
32,1.0,1.0,1.0,1.0,0.0,-3.088798225739549,-3.088798225739549
33,1.0,1.0,1.0,1.0,0.0,-3.1182099904454312,-3.1182099904454312
34,1.0,1.0,1.0,1.0,0.0,-3.1467814190168597,-3.1467814190168597
35,1.0,1.0,1.0,1.0,0.0,-3.1745591967946374,-3.1745591967946374
36,1.0,1.0,1.0,1.0,0.0,-3.201586223821664,-3.201586223821664
37,1.0,1.0,1.0,1.0,0.0,-3.227902013295348,-3.227902013295348
38,1.0,1.0,1.0,1.0,0.0,-3.2535430389363738,-3.2535430389363738
39,1.0,1.0,1.0,1.0,0.0,-3.2785430389363737,-3.2785430389363737
40,1.0,1.0,1.0,1.0,0.0,-3.3029332828388127,-3.3029332828388127
41,1.0,1.0,1.0,1.0,0.0,-3.3267428066483364,-3.3267428066483364
42,1.0,1.0,1.0,1.0,0.0,-3.349998620601825,-3.349998620601825
43,1.0,1.0,1.0,1.0,0.0,-3.372725893329098,-3.372725893329098
44,1.0,1.0,1.0,1.0,0.0,-3.39494811555132,-3.39494811555132
45,1.0,1.0,1.0,1.0,0.0,-3.4166872459861026,-3.4166872459861026
46,1.0,1.0,1.0,1.0,0.0,-3.4379638417307836,-3.4379638417307836
47,1.0,1.0,1.0,1.0,0.0,-3.458797175064117,-3.458797175064117
48,1.0,1.0,1.0,1.0,0.0,-3.4792053383294235,-3.4792053383294235
49,1.0,1.0,1.0,1.0,0.0,-3.4992053383294235,-3.4992053383294235
50,1.0,1.0,1.0,1.0,0.0,-3.5188131814666783,-3.5188131814666783
51,1.0,1.0,1.0,1.0,0.0,-3.5380439506974475,-3.5380439506974475
52,1.0,1.0,1.0,1.0,0.0,-3.556911875225749,-3.556911875225749
53,1.0,1.0,1.0,1.0,0.0,-3.5754303937442677,-3.5754303937442677
